word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
The ,4,206.77777777777777,206.77777777777777,the,0,0,3,-3.0096188862025404,-59.7380226928873,562.2480449059623,20.279669590377047
intense ,8,260.3333333333333,636.4444444444445,intense,1,1,7,10.161011123101376,-59.7380226928873,8.130496259565017,3.864817034571732e-05
interest ,9,220.55555555555554,599.1111111111111,interest,2,2,8,5.664435812872349,-59.7380226928873,10.364879168217811,0.0034671033160830994
aroused ,8,290.3333333333333,558.0,aroused,3,3,7,12.173831291318391,-59.7380226928873,7.242738301506717,5.163833689146064e-06
in ,3,63.77777777777778,63.77777777777778,in,4,4,2,11.351384208654743,-59.7380226928873,11.32662943703683,1.1753209465699098e-05
the ,4,153.22222222222223,234.22222222222223,the,0,5,3,1.3604684439915762,-59.7380226928873,5.691515004729287,0.25654057391111335
public ,7,251.77777777777777,507.8888888888889,public,6,6,6,5.7890946326896975,-59.7380226928873,8.130496259565017,0.0030607520271983013
by ,3,53.22222222222222,53.22222222222222,by,7,7,2,6.268941365780913,-59.7380226928873,6.038676900017567,0.0018942328218290714
what ,5,243.77777777777777,312.6666666666667,what,8,8,4,6.2494663215108766,-59.7380226928873,6.200175255018496,0.0019314846530323205
was ,4,139.11111111111111,196.0,was,9,9,3,3.4695974835865147,-59.7380226928873,5.406699233793386,0.031129558297761425
known ,6,188.11111111111111,240.88888888888889,known,10,10,5,6.444724924174951,-59.7380226928873,6.511084889382033,0.0015888815718778353
at ,3,64.11111111111111,64.11111111111111,at,11,11,2,5.461814703621698,-59.7380226928873,6.443342770414145,0.004245843801362155
the ,4,108.0,117.88888888888889,the,0,12,3,1.2990237136357712,-59.7380226928873,5.439171189527885,0.2727979920294516
time ,5,177.88888888888889,271.3333333333333,time,13,13,4,5.298024591685261,-59.7380226928873,8.130496259565017,0.005001464088627596
as ,3,151.44444444444446,151.44444444444446,as,14,14,2,4.576988046341889,-59.7380226928873,4.892762850865351,0.01028583013107014
'The ,5,161.33333333333334,232.55555555555554,the,0,15,3,2.2313262941586416,-59.7380226928873,5.4696768494136,0.10738591033949631
Styles ,7,183.33333333333334,568.3333333333334,styles,16,16,6,17.42614110113652,-59.7380226928873,8.130496259565017,2.703479488558222e-08
Case' ,6,155.77777777777777,467.0,case,17,17,4,11.48479344439147,-59.7380226928873,10.52521498001296,1.0285314627774464e-05
has ,4,156.88888888888889,219.44444444444446,has,18,18,3,4.774351327312185,-59.7380226928873,6.093114263745324,0.008443559417793189
now ,4,241.44444444444446,329.55555555555554,now,19,19,3,4.931015252222219,-59.7380226928873,5.515337142291928,0.007219170280913544
somewhat ,9,194.22222222222223,442.8888888888889,somewhat,20,20,8,13.844803305398901,-59.7380226928873,5.872038944848459,9.711321264103267e-07
subsided. ,10,253.33333333333334,578.8888888888889,subsided,21,21,8,11.59921062594788,-59.7380226928873,10.223604883155799,9.17332606456449e-06
"Nevertheless, ",14,243.77777777777777,530.3333333333334,nevertheless,0,0,12,11.347177799297308,2.210417813995303,562.2480449059623,1.1802752401860113e-05
